Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_551.jpg;0;1;0;0.1549189;99.69931;85.62432;0.7879277;50.53397;-0.0009142645
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_615.jpg;0;0.7520115;0;0.206368;99.71061;85.63797;1.020955;50.46294;-0.0002002417
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_680.jpg;0;0.5402424;0;0.2581944;99.72302;85.65296;1.232828;50.59461;-0.001931496
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_744.jpg;0;0.3419215;0;0.2867174;99.73518;85.6675;1.294669;50.54971;-0.00291462
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_813.jpg;0;0.1426312;0;0.308146;99.74799;85.68307;1.055817;50.54451;0.001070787
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_880.jpg;0;0;0;0.2993282;99.75788;85.69507;0.8732126;50.53838;0.004441179
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_948.jpg;0;0;0;0.3176862;99.76804;85.7074;0.6965951;50.53801;0.007455422
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_015.jpg;0;0;0;0.3168381;99.78149;85.72373;0.4576812;50.53799;0.01081121
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_080.jpg;0;0;0;0.315904;99.7916;85.736;0.2833416;50.53799;0.01281663
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_148.jpg;0;0;0;0.3145373;99.80177;85.74834;0.1184996;50.538;0.01438221
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_212.jpg;0;0;0;0.3134324;99.8155;85.76501;359.9201;50.53801;0.01579851
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_281.jpg;0;0;0;0.3122694;99.82596;85.77773;359.791;50.53803;0.01637944
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_343.jpg;0;0;0;0.3106463;99.83659;85.79063;359.6811;50.53804;0.01657432
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_414.jpg;0;0;0;0.3093883;99.85104;85.80817;359.5661;50.53806;0.0162872
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_478.jpg;0;0;0;0.308107;99.86208;85.82159;359.5038;50.53806;0.0157079
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_548.jpg;0;0;0;0.3063125;99.8734;85.83523;359.4662;50.53641;0.01013256
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_612.jpg;0;0;0;0.3048515;99.88873;85.85381;359.4499;50.5355;0.0001560743
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_678.jpg;0;0;0;0.3035727;99.90035;85.86799;359.4583;50.53627;-0.003633823
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_744.jpg;0;0;0;0.3018172;99.91211;85.88228;359.4804;50.53628;359.9927
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_812.jpg;0;0;0;0.300591;99.92789;85.90145;359.5267;50.53626;359.9885
